  46.84
 353.00
2260093113
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 06 10 12	56292.71	0.98	349.50	0.00	6.83	6.83	716.00
1980 06 11 12	56332.11	0.00	225.55	0.00	6.98	6.98	729.36
1980 06 12 12	56332.80	0.19	301.57	0.00	8.35	8.35	832.45
1980 06 13 12	56337.26	0.00	498.76	0.00	14.67	14.67	1126.67
1980 06 14 12	56357.50	2.25	221.65	0.00	16.18	16.18	1461.29
1980 06 15 12	56401.44	0.57	330.61	0.00	15.87	15.87	1435.04
1980 06 16 12	56449.68	5.29	347.35	0.00	12.91	12.91	1182.77
1980 06 17 12	56492.53	0.04	399.77	0.00	13.13	13.13	1009.72
1980 06 18 12	56492.53	0.00	305.94	0.00	13.95	13.95	1175.30
1980 06 19 12	56492.53	0.91	410.52	0.00	14.53	14.53	1230.58
1980 06 20 12	56534.21	0.49	448.00	0.00	15.85	15.85	1190.95
1980 06 21 12	56534.21	18.97	246.76	0.00	11.21	11.21	1168.35
1980 06 22 12	56492.53	4.07	494.41	0.00	14.75	14.75	1266.32
1980 06 23 12	56492.53	0.81	504.62	0.00	19.16	19.16	1436.64
1980 06 24 12	56449.68	3.51	312.07	0.00	19.79	19.79	1685.41
1980 06 25 12	56449.68	0.19	470.59	0.00	22.76	22.76	1940.07
1980 06 26 12	56401.44	7.20	378.60	0.00	22.53	22.53	2067.76
1980 06 27 12	56357.50	6.52	336.90	0.00	19.92	19.92	1703.60
1980 06 28 12	56337.26	0.00	386.01	0.00	10.70	10.70	855.77
1980 06 29 12	56332.11	0.00	451.71	0.00	13.68	13.68	992.34
1980 06 30 12	56323.26	1.20	175.06	0.00	14.08	14.08	1289.51
1980 07 01 12	56259.70	0.30	492.21	0.00	14.90	14.90	1340.21
1980 07 02 12	56188.61	11.53	291.07	0.00	16.62	16.62	1545.34
1980 07 03 12	56104.07	0.32	489.35	0.00	15.94	15.94	1291.80
1980 07 04 12	56011.89	0.00	361.92	0.00	16.15	16.15	1361.65
1980 07 05 12	55987.20	0.14	345.34	0.00	14.76	14.76	1238.27
1980 07 06 12	55977.66	23.40	165.84	0.00	13.16	13.16	1351.25
1980 07 07 12	55881.92	1.74	335.68	0.00	11.71	11.71	1061.84
1980 07 08 12	55758.48	1.92	303.50	0.00	14.64	14.64	1292.66
1980 07 09 12	55646.06	4.21	345.29	0.00	15.73	15.73	1427.81
1980 07 10 12	55632.06	0.95	428.50	0.00	14.42	14.42	1322.38
1980 07 11 12	55536.32	7.18	371.63	0.00	17.67	17.67	1589.09
1980 07 12 12	55364.64	10.47	418.08	0.00	16.29	16.29	1473.08
1980 07 13 12	55296.00	20.96	224.55	0.00	13.59	13.59	1366.61
1980 07 14 12	55255.91	1.79	366.57	0.00	16.18	16.18	1506.69
1980 07 15 12	55110.13	0.08	246.43	0.00	19.38	19.38	1917.31
1980 07 16 12	54950.40	0.65	301.50	0.00	20.00	20.00	1906.97
1980 07 17 12	54910.31	1.57	275.98	0.00	18.10	18.10	1508.08
1980 07 18 12	54764.53	0.06	447.01	0.00	19.37	19.37	1546.02
1980 07 19 12	54604.80	0.00	432.30	0.00	19.42	19.42	1593.56
1980 07 20 12	54564.71	14.11	300.48	0.00	21.28	21.28	2012.42
1980 07 21 12	54327.84	0.08	323.19	0.00	20.79	20.79	1880.44
1980 07 22 12	54259.20	2.64	214.91	0.00	18.48	18.48	1877.34
1980 07 23 12	54153.92	15.31	225.09	0.00	18.97	18.97	1907.45
1980 07 24 12	53918.06	4.78	311.44	0.00	18.99	18.99	1663.48
1980 07 25 12	53904.06	0.37	479.57	0.00	19.69	19.69	1580.02
1980 07 26 12	53636.64	0.00	355.63	0.00	19.59	19.59	1729.77
1980 07 27 12	53568.00	0.70	188.13	0.00	17.57	17.57	1577.15
1980 07 28 12	53423.81	1.46	363.48	0.00	20.70	20.70	2022.89
1980 07 29 12	53222.40	1.07	223.38	0.00	18.28	18.28	1793.75
1980 07 30 12	53149.30	11.97	349.48	0.00	20.34	20.34	2048.83
1980 07 31 12	52876.80	3.93	323.53	0.00	19.95	19.95	1768.33
1980 08 01 12	52836.71	0.92	452.36	0.00	20.00	20.00	1777.46
1980 08 02 12	52535.66	15.58	328.84	0.00	21.81	21.81	2001.67
1980 08 03 12	52521.66	12.39	320.53	0.00	21.25	21.25	2026.35
1980 08 04 12	52210.30	2.69	372.13	0.00	21.31	21.31	1941.79
1980 08 05 12	52184.91	0.02	434.81	0.00	20.57	20.57	1726.22
1980 08 06 12	51864.69	1.88	368.82	0.00	20.00	20.00	1843.61
1980 08 07 12	51840.00	0.03	356.12	0.00	21.99	21.99	2078.95
1980 08 08 12	51519.09	0.68	396.20	0.00	19.96	19.96	1786.74
1980 08 09 12	51494.40	5.66	254.73	0.00	18.72	18.72	1749.82
1980 08 10 12	51153.26	0.00	407.78	0.00	15.46	15.46	1220.59
1980 08 11 12	51148.11	1.15	410.32	0.00	15.74	15.74	1416.28
1980 08 12 12	50803.20	6.94	161.56	0.00	15.61	15.61	1583.90
1980 08 13 12	50802.51	2.72	327.93	0.00	15.67	15.67	1517.35
1980 08 14 12	50457.60	0.00	339.41	0.00	15.37	15.37	1407.87
1980 08 15 12	50417.51	21.13	298.43	0.00	16.59	16.59	1594.45
1980 08 16 12	50112.00	2.83	245.68	0.00	13.31	13.31	1262.59
1980 08 17 12	50006.72	0.00	485.09	0.00	14.67	14.67	1144.84
1980 08 18 12	49766.40	0.00	476.12	0.00	17.23	17.23	1272.80
1980 08 19 12	49580.53	0.00	374.09	0.00	18.00	18.00	1419.80
1980 08 20 12	49420.80	0.00	431.62	0.00	17.26	17.26	1485.01
1980 08 21 12	49079.66	0.00	478.27	0.00	18.12	18.12	1440.13
1980 08 22 12	49075.20	0.00	473.18	0.00	18.03	18.03	1435.37
1980 08 23 12	48729.60	0.00	469.17	0.00	19.23	19.23	1387.63
1980 08 24 12	48728.91	0.00	435.03	0.00	20.75	20.75	1719.78
1980 08 25 12	48384.00	0.00	259.72	0.00	19.67	19.67	1651.74
1980 08 26 12	48239.81	0.20	261.18	0.00	20.70	20.70	1937.21
1980 08 27 12	48038.40	0.20	315.51	0.00	20.53	20.53	1891.98
1980 08 28 12	47697.26	4.10	447.40	0.00	15.28	15.28	1208.84
1980 08 29 12	47692.80	0.00	423.24	0.00	13.81	13.81	1022.67
1980 08 30 12	47347.20	0.00	448.24	0.00	15.72	15.72	1130.93
1980 08 31 12	47346.51	11.64	335.67	0.00	19.05	19.05	1803.19
1980 09 01 12	47001.60	8.72	259.00	0.00	18.20	18.20	1777.24
1980 09 02 12	46724.64	6.45	267.00	0.00	19.34	19.34	1942.54
1980 09 03 12	46656.00	3.66	331.05	0.00	18.19	18.19	1628.51
1980 09 04 12	46310.40	0.00	431.85	0.00	12.02	12.02	964.01
1980 09 05 12	46310.40	0.00	391.87	0.00	14.98	14.98	1331.65
1980 09 06 12	45964.80	3.94	273.57	0.00	17.20	17.20	1494.33
1980 09 07 12	45778.93	0.00	299.41	0.00	11.82	11.82	948.76
1980 09 08 12	45619.20	0.00	338.64	0.00	10.51	10.51	936.67
1980 09 09 12	45273.60	0.00	381.69	0.00	11.69	11.69	1053.82
1980 09 10 12	45273.60	1.57	316.34	0.00	11.37	11.37	1077.23
1980 09 11 12	44928.00	1.51	266.67	0.00	8.64	8.64	904.54
1980 09 12 12	44783.81	0.44	352.52	0.00	8.94	8.94	835.11
1980 09 13 12	44582.40	0.00	418.01	0.00	8.82	8.82	857.90
1980 09 14 12	44236.80	16.23	97.01	0.00	9.80	9.80	1056.20
1980 09 15 12	44236.80	1.29	287.77	0.00	11.25	11.25	1087.54
1980 09 16 12	43891.20	0.00	393.05	0.00	9.70	9.70	840.08
1980 09 17 12	43785.92	0.07	360.63	0.00	11.26	11.26	1119.05
1980 09 18 12	43545.60	7.44	396.23	0.00	14.34	14.34	1304.87
1980 09 19 12	43200.00	0.66	227.54	0.00	7.64	7.64	734.50
1980 09 20 12	43200.00	2.90	190.53	0.00	8.03	8.03	825.24
1980 09 21 12	42854.40	19.57	382.20	0.00	12.88	12.88	1198.86
1980 09 22 12	42652.99	16.71	259.50	0.00	12.35	12.35	1288.19
1980 09 23 12	42508.80	2.96	217.04	0.00	13.58	13.58	1329.95
1980 09 24 12	42163.20	0.00	405.05	0.00	4.58	4.58	552.23
1980 09 25 12	42163.20	0.04	252.60	0.00	5.44	5.44	598.65
1980 09 26 12	41817.60	15.88	114.87	0.00	9.01	9.01	1046.60
1980 09 27 12	41616.19	1.34	126.04	0.00	6.02	6.02	768.36
1980 09 28 12	41472.00	0.01	243.69	0.00	4.68	4.68	592.88
1980 09 29 12	41126.40	0.25	360.45	0.00	1.08	1.08	408.35
1980 09 30 12	41126.40	2.02	100.57	0.00	6.21	6.21	819.49
1980 10 01 12	40780.80	2.53	117.02	0.00	7.43	7.43	923.41
1980 10 02 12	40621.07	0.54	353.22	0.00	12.70	12.70	1266.46
1980 10 03 12	40435.20	3.16	200.29	0.00	11.56	11.56	1137.39
1980 10 04 12	40089.60	26.01	107.23	0.00	7.44	7.44	917.98
1980 10 05 12	40089.60	0.00	253.82	0.00	6.20	6.20	787.08
1980 10 06 12	39744.00	0.02	335.75	0.00	9.03	9.03	845.83
1980 10 07 12	39675.36	0.14	196.53	0.00	9.40	9.40	870.76
1980 10 08 12	39398.40	0.15	149.91	0.00	8.55	8.55	890.24
1980 10 09 12	39053.49	3.54	223.65	0.00	6.33	6.33	723.29
1980 10 10 12	39052.80	2.41	208.65	0.00	2.05	2.05	503.17
1980 10 11 12	38707.20	5.60	157.44	0.00	3.12	3.12	659.18
1980 10 12 12	38707.20	10.89	163.79	0.00	8.62	8.62	995.48
1980 10 13 12	38361.60	0.28	142.28	0.00	4.94	4.94	678.38
1980 10 14 12	38160.19	0.00	97.42	0.00	1.71	1.71	498.85
1980 10 15 12	38016.00	0.00	335.22	0.00	0.83	0.83	434.25
1980 10 16 12	37679.94	0.00	332.47	0.00	2.39	2.39	463.05
1980 10 17 12	37670.40	0.00	324.63	0.00	4.98	4.98	605.79
1980 10 18 12	37324.80	2.31	195.97	0.00	11.04	11.04	1132.02
1980 10 19 12	37320.34	0.41	178.52	0.00	10.16	10.16	937.09
1980 10 20 12	36979.20	0.71	157.70	0.00	4.53	4.53	593.41
1980 10 21 12	36819.47	1.48	189.58	0.00	1.62	1.62	458.06
1980 10 22 12	36633.60	0.01	116.45	0.00	2.19	2.19	510.39
1980 10 23 12	36393.28	0.00	104.39	0.00	1.45	1.45	425.52
1980 10 24 12	36288.00	0.00	245.43	0.00	1.42	1.42	474.18
1980 10 25 12	35982.49	0.96	315.24	0.00	2.45	2.45	500.48
1980 10 26 12	35942.40	16.37	128.86	0.00	6.31	6.31	834.49
1980 10 27 12	35606.34	0.34	208.83	0.00	-0.08	-0.08	351.20
1980 10 28 12	35596.80	0.16	153.68	0.00	-0.06	-0.06	331.20
1980 10 29 12	35251.89	0.00	70.81	0.00	-1.13	-1.13	402.10
1980 10 30 12	35246.74	0.00	137.38	0.00	0.94	0.94	498.20
1980 10 31 12	34905.60	0.76	88.75	0.00	1.56	1.56	560.01
1980 11 01 12	34880.91	0.36	70.46	0.00	1.45	1.45	528.50
1980 11 02 12	34560.00	0.17	148.51	0.00	-0.55	-0.55	371.77
1980 11 03 12	34535.31	0.00	288.65	0.00	-2.55	-2.55	223.24
1980 11 04 12	34215.09	0.58	156.31	0.00	2.44	2.44	570.70
1980 11 05 12	34189.70	1.91	141.84	0.00	5.79	5.79	783.23
1980 11 06 12	33878.34	0.00	196.55	0.00	-2.06	-2.06	252.34
1980 11 07 12	33864.34	0.94	121.82	0.00	0.16	0.16	526.10
1980 11 08 12	33563.29	9.14	112.24	0.00	1.23	1.23	612.71
1980 11 09 12	33523.20	1.12	254.44	0.00	-3.00	-3.00	347.15
1980 11 10 12	33250.70	4.15	77.03	0.00	-0.20	-0.20	558.15
1980 11 11 12	33177.60	1.73	100.77	0.00	-0.41	-0.41	542.99
1980 11 12 12	32976.19	0.34	263.87	0.00	2.05	2.05	622.09
1980 11 13 12	32832.00	0.00	253.24	0.00	0.36	0.36	513.51
1980 11 14 12	32763.35	1.20	113.46	0.00	-0.75	-0.75	474.09
1980 11 15 12	32495.94	0.05	198.91	0.00	-2.08	-2.08	345.72
1980 11 16 12	32481.94	0.03	90.52	0.00	-4.15	-4.15	318.37
1980 11 17 12	32246.08	0.71	275.20	0.00	-3.35	-3.35	396.42
1980 11 18 12	32140.80	3.36	187.19	0.00	-3.26	-3.26	417.15
1980 11 19 12	32072.16	0.42	188.47	0.00	-3.01	-3.01	407.01
1980 11 20 12	31835.29	0.00	148.63	0.00	-4.25	-4.25	375.72
1980 11 21 12	31795.20	0.00	242.69	0.00	-1.78	-1.78	480.35
1980 11 22 12	31635.47	0.00	260.62	0.00	-1.07	-1.07	515.61
1980 11 23 12	31489.69	1.48	186.29	0.00	-1.74	-1.74	478.12
1980 11 24 12	31449.60	3.43	70.28	0.00	-0.22	-0.22	506.91
1980 11 25 12	31289.87	25.08	58.81	0.00	1.59	1.59	658.61
1980 11 26 12	31144.09	4.64	93.61	0.00	-0.57	-0.57	515.30
1980 11 27 12	31104.00	0.00	251.30	0.00	-5.97	-5.97	304.49
1980 11 28 12	31035.35	2.83	120.84	0.00	-5.57	-5.57	354.59
1980 11 29 12	30863.68	12.90	122.18	0.00	-0.64	-0.64	540.89
1980 11 30 12	30767.94	1.97	73.20	0.00	-2.26	-2.26	461.19
1980 12 01 12	30753.94	0.02	60.27	0.00	-2.54	-2.54	466.24
1980 12 02 12	30641.53	0.36	203.22	0.00	-2.29	-2.29	481.07
1980 12 03 12	30518.08	21.92	102.72	0.00	0.75	0.75	609.95
1980 12 04 12	30422.34	5.46	108.41	0.00	-5.83	-5.83	350.76
1980 12 05 12	30412.80	2.45	155.03	0.00	-9.56	-9.56	246.78
1980 12 06 12	30388.11	0.16	135.60	0.00	-5.65	-5.65	360.63
1980 12 07 12	30295.93	0.14	196.02	0.00	-5.57	-5.57	373.59
1980 12 08 12	30211.40	1.39	106.71	0.00	-2.77	-2.77	452.49
1980 12 09 12	30140.30	10.05	189.76	0.00	-4.30	-4.30	387.38
1980 12 10 12	30076.74	0.00	180.95	0.00	-10.20	-10.20	234.46
1980 12 11 12	30067.89	1.20	181.48	0.00	-14.08	-14.08	182.96
1980 12 12 12	30062.74	1.35	134.41	0.00	-18.12	-18.12	112.95
1980 12 13 12	30042.51	2.23	61.76	0.00	-11.42	-11.42	225.44
1980 12 14 12	29998.56	0.50	102.82	0.00	-12.87	-12.87	183.26
1980 12 15 12	29950.32	0.00	166.30	0.00	-20.51	-20.51	86.10
1980 12 16 12	29950.32	8.67	162.80	0.00	-19.70	-19.70	112.11
1980 12 17 12	29907.47	3.01	106.57	0.00	-14.05	-14.05	177.27
1980 12 18 12	29907.47	0.45	75.25	0.00	-18.21	-18.21	140.84
